cash_on_hand_thousand_usd,value,pdf_x_pt,pdf_y_pt,drawing_index
127.37311013964906,0.21908225083593824,206.0185089111328,157.3642578125,152
128.2747573911709,0.21908225083593824,206.80050659179688,157.3642578125,153
129.17640464269277,0.21908225083593824,207.58250427246094,157.3642578125,154
130.5265795733947,0.21908225083593824,208.75350952148438,157.3642578125,155
131.42765503745392,0.21908225083593824,209.5350112915039,157.3642578125,156
132.32843581105158,0.21908012812736377,210.31625747680664,157.364501953125,157
133.22921658464924,0.2112678972267752,211.09750366210938,158.2630157470703,158
134.12972026124578,0.2112678972267752,211.87850952148438,158.2630157470703,159
135.4821911385286,0.2112678972267752,213.05150604248047,158.2630157470703,160
136.3832666025878,0.2112678972267752,213.8330078125,158.2630157470703,161
137.284342066647,0.2112678972267752,214.61450958251953,158.2630157470703,162
138.18483694651331,0.2112678972267752,215.3955078125,158.2630157470703,163
139.53615545214058,0.2112678972267752,216.5675048828125,158.2630157470703,164
140.43723091619978,0.2112678972267752,217.34900665283203,158.2630157470703,165
141.33715400860348,0.2112678972267752,218.12950897216797,158.2630157470703,166
142.23822067593244,0.2112678972267752,218.91100311279297,158.2630157470703,167
143.13929613999164,0.2112678972267752,219.6925048828125,158.2630157470703,168
144.49005165488643,0.2112678972267752,220.864013671875,158.2630157470703,169
145.39111832221545,0.2112678972267752,221.6455078125,158.2630157470703,170
146.29276557373737,0.2112678972267752,222.42750549316406,158.2630157470703,171
147.19326925033386,0.2112678972267752,223.20851135253906,158.2630157470703,172
148.54574892434687,0.2112678972267752,224.3815155029297,158.2630157470703,173
149.44567201675056,0.2112678972267752,225.16201782226562,158.2630157470703,174
150.34615809988668,0.2112678972267752,225.94300842285156,158.2630157470703,175
151.2472247672157,0.2112678972267752,226.72450256347656,158.2630157470703,176
152.14772844381218,0.2112678972267752,227.50550842285156,158.2630157470703,177
153.4990469494395,0.2112678972267752,228.67750549316406,158.2630157470703,178
154.40069420096137,0.2112678972267752,229.45950317382812,158.2630157470703,179
155.30234145248323,0.2112678972267752,230.2415008544922,158.2630157470703,180
156.20284512907978,0.2112678972267752,231.0225067138672,158.2630157470703,181
157.55358305051413,0.2112678972267752,232.19400024414062,158.2630157470703,182
158.45524789549643,0.2112678972267752,232.97601318359375,158.2630157470703,183
159.35631456282545,0.2112678972267752,233.75750732421875,158.2630157470703,184
160.25593856640245,0.2112677645574892,234.53775024414062,158.26303100585938,185
161.1573043225581,0.20084500011812345,235.3195037841797,159.4617919921875,186
162.5080598374529,0.20084500011812345,236.4910125732422,159.4617919921875,187
163.40970708897476,0.20084500011812345,237.27301025390625,159.4617919921875,188
164.31135434049662,0.20084500011812345,238.0550079345703,159.4617919921875,189
165.21184042363274,0.20084500011812345,238.83599853515625,159.4617919921875,190
166.56259593852758,0.20084500011812345,240.00750732421875,159.4617919921875,191
167.46366260585654,0.20084500011812345,240.78900146484375,159.4617919921875,192
168.36416628245308,0.20084500011812345,241.57000732421875,159.4617919921875,193
169.26466995904963,0.20084500011812345,242.35101318359375,159.4617919921875,194
170.16573662637865,0.20084500011812345,243.13250732421875,159.4617919921875,195
171.51763571619875,0.20084500011812345,244.3050079345703,159.4617919921875,196
172.41928296772062,0.20084500011812345,245.08700561523438,159.4617919921875,197
173.31978664431716,0.20084500011812345,245.86801147460938,159.4617919921875,198
174.22027272745328,0.20084500011812345,246.6490020751953,159.4617919921875,199
175.57160882654097,0.20084500011812345,247.82101440429688,159.4617919921875,200
176.47267549386999,0.20084500011812345,248.60250854492188,159.4617919921875,201
177.37374216119895,0.20084500011812345,249.38400268554688,159.4617919921875,202
178.27482642198834,0.20084500011812345,250.16551208496094,159.4617919921875,203
179.17589308931736,0.20084500011812345,250.94700622558594,159.4617919921875,204
180.5260680200193,0.20084500011812345,252.11801147460938,159.4617919921875,205
181.42771527154116,0.20084500011812345,252.90000915527344,159.4617919921875,206
182.32936252306303,0.20084500011812345,253.6820068359375,159.4617919921875,207
183.22986619965957,0.20084500011812345,254.4630126953125,159.4617919921875,208
184.13035228279568,0.20084500011812345,255.24400329589844,159.4617919921875,209
185.48226896607622,0.20084500011812345,256.41651916503906,159.4617919921875,210
186.38219205847992,0.20084500011812345,257.197021484375,159.4617919921875,211
187.28211515088356,0.20084500011812345,257.97752380371094,159.4617919921875,212
188.18260123401967,0.20084500011812345,258.7585144042969,159.4617919921875,213
189.53566149222559,0.20084500011812345,259.93202209472656,159.4617919921875,214
190.43674575301497,0.20084500011812345,260.7135314941406,159.4617919921875,215
191.33781242034394,0.20084500011812345,261.4950256347656,159.4617919921875,216
192.23887908767296,0.20084500011812345,262.2765197753906,159.4617919921875,217
193.1393827642695,0.20084500011812345,263.0575256347656,159.4617919921875,218
194.49070126989676,0.20084500011812345,264.2295227050781,159.4617919921875,219
195.3912049464933,0.20084500011812345,265.0105285644531,159.4617919921875,220
196.29227161382232,0.20084500011812345,265.7920227050781,159.4617919921875,221
197.19333828115128,0.20084500011812345,266.5735168457031,159.4617919921875,222
198.5458179551643,0.20084500011812345,267.74652099609375,159.4617919921875,223
