age,consumption,income,wealth,alpha_mean,alpha_p05,alpha_p95
81,33.57178739430873,21.690336288590174,111.54135372652827,0.5669985722410521,0.40747481021311194,0.9996221461360979
82,33.57178739430873,21.690336288590174,103.84876823883398,0.5723685952570389,0.40951003542666875,0.9996221461360979
83,32.91171227218081,21.690336288590174,96.46773221105755,0.5771448237109196,0.4126796236467207,0.9996221461360979
84,32.91171227218081,21.690336288590174,89.08511307964646,0.5850889353072184,0.4177528035997283,0.9996221461360979
85,32.25272513162372,21.690336288590174,81.70250343577455,0.5905200583121056,0.42320068404850275,0.9996221461360979
86,32.25272513162372,21.690336288590174,73.9874513982564,0.5960236260101512,0.42851283900629505,0.9996221461360979
87,31.59321048485043,21.690336288590174,67.60064298925481,0.6037268191326638,0.4322441667138944,0.9996221461360979
88,31.59321048485043,21.690336288590174,60.21854023575784,0.6061359379039146,0.43979365035703427,0.9996221461360979
89,30.93313536272251,21.690336288590174,52.83578966875259,0.6140319957600444,0.45009919104317675,0.9996221461360979
90,30.2724997652399,21.690336288590174,46.115021838622425,0.6220680364041987,0.4572912243455663,0.9996221461360979
91,29.611864167757233,21.690336288590174,39.505087856261795,0.627572780343956,0.462761805480802,0.9996221461360979
92,28.95228358270697,21.690336288590174,33.4951160905505,0.6352410327269944,0.4700990437197289,0.9996221461360979
93,28.292735966795192,21.690336288590174,27.982002995018718,0.6376336907333202,0.47839403747335546,0.9996221461360979
94,27.63213333845107,21.690336288590174,21.907948635635226,0.6429635205763893,0.4841117022706591,0.9996221461360979
95,26.97149774096846,21.690336288590174,18.309819588433225,0.6507259782870581,0.48728874469083183,0.9996221461360979
96,26.31142261884048,21.690336288590174,13.61067306071388,0.6479115430745314,0.4908835824313968,0.9996221461360979
97,26.31142261884048,21.690336288590174,8.43318342040262,0.643103424388055,0.49959177320161957,0.9996221461360979
98,25.651380465851048,21.690336288590174,6.104844381145711,0.6429243351977378,0.5069594863748336,0.9996221461360979
99,24.991305343723127,21.690336288590174,2.3931564591776753,0.637685404621605,,
100,,21.690336288590174,,,,
