series,panel,drawing_index,pdf_x_pt,pdf_y_pt,age,value
wealth,A,180,128.55400466918945,167.82827758789062,28.404123161327043,15.08892568454047
wealth,A,181,131.56050872802734,166.91152954101562,29.38179673599371,17.069711526279036
wealth,A,182,134.5675048828125,165.99502563476562,30.35963033346242,19.0499698618014
wealth,A,183,137.5737533569336,164.77301025390625,31.33722079551098,21.690336288590174
wealth,A,184,140.58050537109375,163.55076599121094,32.314975001822084,24.33119725245666
wealth,A,185,143.02350616455078,162.63426208496094,33.10940510133636,26.311455587979026
wealth,A,186,146.0300064086914,161.4120330810547,34.087077435516186,28.95228358270697
wealth,A,187,146.40575408935547,161.1062774658203,34.20926538901243,29.61291918018958
wealth,A,188,149.41250610351562,159.2737579345703,35.187019595323534,33.57238083880196
wealth,A,189,152.41900253295898,157.44027709960938,36.16469068901653,37.53391955314049
wealth,A,190,155.0500030517578,156.06552124023438,37.02025570134456,40.50430705642401
wealth,A,191,155.42575454711914,155.3017578125,37.142444895327635,42.15454431545163
wealth,A,192,158.05625915527344,153.92752075195312,37.99784864436679,45.12381086802577
wealth,A,193,158.4325065612793,153.1634979248047,38.12019910163875,46.77460860240808
wealth,A,194,161.0632553100586,151.6360321044922,38.9756822418355,50.07495124390931
wealth,A,195,162.19050979614258,150.71954345703125,39.342249823784734,52.05517661029319
wealth,A,196,164.06975936889648,148.7340087890625,39.95335581650217,56.345252789893436
wealth,A,197,165.00925827026367,148.2745361328125,40.25886787679524,57.33801948873548
wealth,A,198,167.26425552368164,146.13650512695312,40.99216182300892,61.957589238614275
wealth,A,199,168.01600646972656,145.5255126953125,41.236620842619516,63.277739482870174
wealth,A,200,170.2710075378418,143.38650512695312,41.969916029320025,67.89941925761366
wealth,A,201,171.02275466918945,142.77603149414062,42.21437380844379,69.21844855116018
wealth,A,202,172.9017562866211,140.63751220703125,42.82539916951678,73.83907331347137
wealth,A,203,174.0290069580078,139.72052001953125,43.19196551097918,75.82038666142608
wealth,A,204,176.09600830078125,137.73452758789062,43.864125784865934,80.11145191518165
wealth,A,205,177.4112548828125,136.66552734375,44.29182579865525,82.42120382098256
wealth,A,206,179.10275650024414,134.37350463867188,44.8418787506902,87.37349811671396
wealth,A,207,180.41750717163086,133.30450439453125,45.269417501190645,89.68325002251487
wealth,A,208,182.1090087890625,131.01303100585938,45.81947045322559,94.63435742925986
