panel,age,cash,paper,canonical,difference
A,99,290,0.190420378308755,0.188525337103654,-0.00189504120510087
A,99,295,0.190420378308755,0.188106223854959,-0.00231415445379665
B,20,10,0.99960888314413,0.999999999534339,0.000391116390209056
B,20,15,0.99960888314413,0.999999999534339,0.000391116390209056
B,20,20,0.953386568038677,0.999999999534339,0.0466134314956613
B,20,25,0.803765010821161,0.999999999534339,0.196234988713178
B,20,30,0.702512594120998,0.999999999534339,0.297487405413341
B,20,35,0.627864274741894,0.999999999534339,0.372135724792445
B,20,40,0.578696481853415,0.999999999534339,0.421303517680923
B,20,45,0.531304247429532,0.999999999534339,0.468695752104807
B,20,50,0.499864531379442,0.999999999534339,0.500135468154897
B,20,55,0.471412335766847,0.999999999534339,0.528587663767492
B,20,60,0.449625140747101,0.999999999534339,0.550374858787238
B,20,65,0.430563771203176,0.962470465040579,0.531906693837403
B,20,70,0.41180199034632,0.906594608525956,0.494792618179636
B,20,75,0.400617954006026,0.858278283307483,0.457660329301457
B,20,80,0.3897335063528,0.816105364264275,0.426371857911475
B,20,85,0.381556584462101,0.779092920997909,0.397536336535808
B,20,90,0.370672136808876,0.746482207557165,0.37581007074829
B,20,95,0.359769389442355,0.71750850551494,0.357739116072585
B,20,100,0.351610489996568,0.691640903192455,0.340030413195887
B,20,105,0.340716892486694,0.668431640819216,0.327714748332522
B,20,110,0.340716892486694,0.647473715413468,0.306756822926773
B,20,115,0.329832444833469,0.628425698575094,0.298593253741625
B,20,120,0.329588358584388,0.611058920400674,0.281470561816286
B,20,125,0.32165552294277,0.595134335667083,0.273478812724313
B,20,130,0.32165552294277,0.580512804124636,0.258857281181867
B,20,135,0.310780225146192,0.567000626856373,0.256220401710181
B,20,140,0.310780225146192,0.554480194462723,0.243699969316531
B,20,145,0.299877477779671,0.542846392266087,0.242968914486416
B,20,150,0.299877477779671,0.532006450692893,0.232128972913222
B,20,155,0.299877477779671,0.521878576806294,0.222001099026623
B,20,160,0.291718855602267,0.51238824065444,0.220669385052173
B,20,165,0.291718855602267,0.503467029866778,0.211748174264512
B,20,170,0.291718855602267,0.495097506899792,0.203378651297525
B,20,175,0.291718855602267,0.487199576118054,0.195480720515788
B,20,180,0.280825258092394,0.479717921978833,0.198892663886439
B,20,185,0.280825258092394,0.472673523170028,0.191848265077634
B,20,190,0.280825258092394,0.465960630998595,0.185135372906202
B,20,195,0.280825258092394,0.459622412614596,0.178797154522202
B,20,200,0.280825258092394,0.453567723955399,0.172742465863005
B,20,205,0.269940810439168,0.447822225770587,0.177881415331419
B,20,210,0.269940810439168,0.442339730485155,0.172398920045987
B,20,215,0.269940810439168,0.437091421523714,0.167150611084547
B,20,220,0.269940810439168,0.432094109843828,0.162153299404661
B,20,225,0.269940810439168,0.427311826557969,0.157371016118801
B,20,230,0.269120242997656,0.422723495986046,0.153603252988391
B,20,235,0.259028913216,0.418318527428308,0.159289614212308
B,20,240,0.259028913216,0.414092945018897,0.155064031802897
B,20,245,0.259028913216,0.41004464836774,0.151015735151741
B,20,250,0.259028913216,0.406149274007962,0.147120360791963
B,20,255,0.259028913216,0.402398486866551,0.143369573650551
B,20,260,0.259028913216,0.398784516082473,0.139755602866474
B,20,265,0.259028913216,0.395300256351229,0.136271343135229
B,20,270,0.259028913216,0.3919388521652,0.132909938949201
B,20,275,0.25087916362686,0.388693631482659,0.137814467855799
B,20,280,0.25087916362686,0.385558292473671,0.134679128846811
B,20,285,0.25087916362686,0.382527166035098,0.131648002408238
B,20,290,0.25087916362686,0.379594906899297,0.128715743272437
B,20,295,0.25087916362686,0.376756215925563,0.125877052298703
B,30,20,0.99960888314413,0.999999999534339,0.000391116390209056
B,30,25,0.99960888314413,0.999999999534339,0.000391116390209056
B,30,30,0.99960888314413,0.999999999534339,0.000391116390209056
B,30,35,0.99960888314413,0.999999999534339,0.000391116390209056
B,30,40,0.99960888314413,0.999999999534339,0.000391116390209056
B,30,45,0.99960888314413,0.999999999534339,0.000391116390209056
B,30,50,0.99960888314413,0.999999999534339,0.000391116390209056
B,30,55,0.99960888314413,0.999999999534339,0.000391116390209056
B,30,60,0.99960888314413,0.999999999534339,0.000391116390209056
B,30,65,0.99960888314413,0.999999999534339,0.000391116390209056
B,30,70,0.99960888314413,0.999999999534339,0.000391116390209056
B,30,75,0.99960888314413,0.999999999534339,0.000391116390209056
B,30,80,0.99960888314413,0.974832785530745,-0.0247760976133847
B,30,85,0.99960888314413,0.925674813034671,-0.0739340701094587
B,30,90,0.99960888314413,0.882411600575089,-0.117197282569041
B,30,95,0.99960888314413,0.844055784962403,-0.155553098181727
B,30,100,0.99960888314413,0.809893043407649,-0.189715839736481
B,30,105,0.99960888314413,0.779345308258101,-0.220263574886029
B,30,110,0.99960888314413,0.751887052476635,-0.247721830667494
B,30,115,0.99960888314413,0.727050525860089,-0.272558357284041
B,30,120,0.99960888314413,0.70443814754111,-0.295170735603019
B,30,125,0.99960888314413,0.683851192459685,-0.315757690684445
B,30,130,0.99960888314413,0.664939756526075,-0.334669126618054
B,30,135,0.99960888314413,0.647538920985376,-0.352069962158754
B,30,140,0.99960888314413,0.631492649079501,-0.368116234064628
B,30,145,0.99960888314413,0.61661655411333,-0.3829923290308
B,30,150,0.99960888314413,0.602785963464416,-0.396822919679714
B,30,155,0.99960888314413,0.589890391423446,-0.409718491720684
B,30,160,0.99960888314413,0.577837452976214,-0.421771430167916
B,30,165,0.99960888314413,0.566574416894465,-0.433034466249665
B,30,170,0.99882094579583,0.555991120718455,-0.442829825077376
B,30,175,0.979996663821229,0.546014574823581,-0.433982088997648
B,30,180,0.961495016644545,0.536628734019145,-0.4248662826254
B,30,185,0.939716971481446,0.527760763772602,-0.411956207708844
B,30,190,0.92149244511513,0.519359115974412,-0.402133329140717
B,30,195,0.909762004427648,0.511412906836854,-0.398349097590794
B,30,200,0.891892089461675,0.503861193262377,-0.388030896199298
