age,optimal,100_age,no_income,no_income_risk,approximation
81,0.566480843576911,0.188465641883583,0.161921469957404,0.544286083301309,0.499556627134817
82,0.573898834503462,0.17840193871806,0.161921469957404,0.536868565460914,0.499556627134817
83,0.579493075270771,0.167548873551076,0.161921469957404,0.531105279229815,0.499556627134817
84,0.585000000893311,0.156428637362645,0.161921469957404,0.521009168120698,0.499556627134817
85,0.589937207404784,0.146411335960843,0.161921469957404,0.523481208410495,0.499556627134817
86,0.595593678426234,0.138166215834346,0.161921469957404,0.523591248000417,0.499556627134817
87,0.603011196266628,0.128031875683643,0.161921469957404,0.526064069337986,0.499556627134817
88,0.60862260590518,0.117245596294134,0.161921469957404,0.526140682408368,0.499556627134817
89,0.61429163925835,0.106123439448162,0.161921469957404,0.526140682408368,0.499556627134817
90,0.621707226474718,0.0986967750581855,0.161921469957404,0.526140682408368,0.499556627134817
91,0.627375977572582,0.0878618609910337,0.161921469957404,0.526070547891293,0.499556627134817
92,0.635314822629661,0.076737451502624,0.161921469957404,0.523309886418063,0.499556627134817
93,0.637787170881073,0.0666980893697221,0.161921469957404,0.52083753816665,0.499556627134817
94,0.643393824821131,0.0584804429076357,0.161921469957404,0.517881708701227,0.499556627134817
95,0.650811403009725,0.0483261410603357,0.161921469957404,0.510464130512634,0.499556627134817
96,0.651038369029221,0.0375641143565702,0.161921469957404,0.49945302445995,0.499556627134817
97,0.643112764312124,0.0264411529566322,0.161921469957404,0.4822338021889,0.499556627134817
98,0.643112764312124,0.0189893404810944,0.161921469957404,0.455043175371074,0.499556627134817
99,NaN,NaN,NaN,NaN,NaN
