age,consumption,wealth,income,saving,alpha,cash,wealth_SE,alpha_p05,alpha_p95
37,25.7689685336627,165.855104621425,32.2336548854222,172.319790973185,0.556504417499168,198.088759506848,0.188049158313995,0.409730739270814,0.764160495280114
38,26.5987248876469,179.533943272012,32.6989478179539,185.634166202319,0.534197009114899,212.232891089966,0.208067453611544,0.394959876909581,0.731430231677921
39,27.4070472671769,193.218778886934,33.1786418118015,198.990373431558,0.513890088150093,226.397420698736,0.230936319038459,0.382233741862744,0.702249103676086
40,28.2343997470191,206.98513424976,33.6204870442086,212.371221546949,0.49606072677765,240.605621293968,0.253930200211473,0.371443852636948,0.667891925120626
41,29.0356169655948,220.705061076226,33.9068165331884,225.57626064382,0.48016886990762,254.611877609415,0.277832509932244,0.361216087088862,0.643829439840995
42,29.8580776062941,234.429607079635,34.2164659010664,238.787995374408,0.465881145914815,268.646072980702,0.305003102549715,0.351249592677377,0.621518232785137
43,30.6634005707822,247.928428191866,34.479942346196,251.74496996728,0.452893310527738,282.408370538063,0.330501670184036,0.343380525218703,0.600334128328028
44,31.480760430208,261.362152876923,34.5754056405355,264.45679808725,0.441412164952203,295.937558517459,0.354330904610864,0.335485090349925,0.585322836491003
45,32.27320470275,274.376700782652,34.9025905170761,277.006086596978,0.430932094829374,309.279291299728,0.379182997588004,0.328383484197775,0.56987067040064
46,33.071801327315,287.363369957182,34.9063239340547,289.197892563921,0.42186567771567,322.269693891236,0.407218272558555,0.321824968414644,0.557281474301234
47,33.8785026457209,299.761356729085,35.1363006310458,301.01915471441,0.413426252149873,334.897657360131,0.430982439235583,0.316628207445379,0.542807155740792
48,34.6737068858975,311.96043428503,35.0318432841316,312.318570683264,0.406250132986651,346.992277569162,0.460487950544486,0.309868586350992,0.534836222609821
49,35.4894600473864,323.577563730685,35.2815607185955,323.369664401894,0.399799976683498,358.859124449281,0.483947595144802,0.305139060159413,0.524872580742119
50,36.2801054319,335.011068602232,35.2353073767028,333.966270547035,0.393970158506922,370.246375978935,0.507691221913724,0.300853200014808,0.517583720338543
51,37.0931397019056,345.707406245544,35.2212275057299,343.835494049369,0.388945292611721,380.928633751274,0.534117699517728,0.295569795387114,0.513023902176491
52,37.8896834607339,356.116631182521,35.2140434814761,353.440991203263,0.384481310283419,391.330674663997,0.558883753232262,0.292072489940018,0.507503546450619
53,38.6862570930568,365.894916684766,35.1803800071526,362.389039598862,0.380747189879687,401.075296691918,0.58312900171815,0.288741285942838,0.504124066504481
54,39.495031898237,375.122408451905,35.2074498904989,370.834826444167,0.377609878789281,410.329858342405,0.614104115180186,0.284884795862788,0.501929990509291
55,40.3003905530015,383.77240390457,35.1849701939367,378.656983545505,0.375152307410591,418.957374098506,0.638442304809086,0.282635211216528,0.500000279662821
56,41.1215176986535,391.889461123714,35.2113823001061,385.979325725167,0.373135162858695,427.10084342382,0.662529584251857,0.27982984814819,0.498573729113181
57,41.9301717010298,399.591660492067,35.141074110441,392.802562901478,0.371643086861247,434.732734602508,0.693919293994858,0.277023992800425,0.499955656172603
